Action,Time,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Result,Total,Notes
Market sell,2023-11-13 15:03:45,CRSR,Corsair Gaming,2.023885,12.07,USD,-34.06,19.91,
Market buy,2023-11-13 15:04:19,TSLA,Tesla,0.0090662,216.22,USD,,1.6,
Market buy,2023-11-13 15:04:19,BMW,Bayerische Motoren Werke,0.025108,91.78,EUR,,2.01,
Market buy,2023-11-13 15:04:19,MBG,Mercedes-Benz,0.032513,56.42,EUR,,1.6,
Market buy,2023-11-13 15:04:19,SUZ,Suzano,0.135004,10.89,USD,,1.2,
Market buy,2023-11-13 15:04:19,F,Ford Motor,0.40212,9.78,USD,,3.21,
Market buy,2023-11-13 15:04:19,GM,General Motors,0.11067,26.68,USD,,2.41,
Market buy,2023-11-13 15:04:20,VLVLY,Volvo,0.168516,20.43,USD,,2.81,
Market buy,2023-11-13 15:04:21,VOW,Volkswagen,0.0237993,116.1,EUR,,2.41,
Market buy,2023-11-13 15:04:22,TM,Toyota Motor,0.0104974,186.74,USD,,1.6,
Market buy,2023-11-13 16:13:02,HYUD,Hyundai Motor,0.037794,38.9,USD,,1.2,
Market sell,2023-11-28 16:55:33,AAPL,Apple,0.2062862,190.77,USD,1.02,30.92,
Market sell,2023-11-28 16:55:33,COIN,Coinbase,0.429438,127.0,USD,12.97,42.86,
Market sell,2023-11-28 16:55:33,AMZN,Amazon,0.2169836,147.13,USD,1.16,25.08,
Market sell,2023-11-28 16:55:33,MSFT,Microsoft,0.1843106,382.2,USD,7.74,55.36,
Market sell,2023-11-28 16:55:34,PYPL,PayPal,0.473089,57.4,USD,-2.59,21.34,
Market sell,2023-11-28 16:55:34,NVDA,NVIDIA,0.0595103,480.01,USD,1.51,22.45,
Market sell,2023-11-28 16:55:34,GOOGL,Alphabet (Class A),0.3251727,136.64,USD,2.02,34.92,
Market sell,2023-11-28 16:55:38,SONO,Sonos,1.587338,14.84,USD,-2.43,18.51,
Market sell,2023-11-28 16:55:58,SUZ,Suzano,1.676955,10.92,USD,0.78,14.39,
Market sell,2023-11-28 16:55:58,TSLA,Tesla,0.0903831,241.63,USD,-0.99,17.16,
Market sell,2023-11-28 16:55:58,F,Ford Motor,3.652826,10.39,USD,-6.5,29.82,
Market sell,2023-11-28 16:55:58,GM,General Motors,0.970559,28.75,USD,-5.31,21.93,
Market sell,2023-11-28 16:56:02,SONY,Sony,0.251557,87.41,USD,-0.67,17.27,
Market sell,2023-11-28 16:56:03,NVDA,NVIDIA,0.1246685,480.02,USD,3.16,47.02,
Market sell,2023-11-28 16:56:03,TXN,Texas Instruments,0.3295623,152.61,USD,-4.35,39.52,
Market sell,2023-11-28 16:56:03,INTC,Intel,1.623577,44.17,USD,12.5,56.35,
Market sell,2023-11-28 16:56:03,AAPL,Apple,0.3025761,190.81,USD,1.5,45.36,
Market sell,2023-11-28 16:56:03,QCOM,Qualcomm,0.4734816,126.93,USD,3.36,47.22,
Market sell,2023-11-28 16:56:03,AMD,Advanced Micro Devices,0.4897764,122.1,USD,3.13,46.99,
Market sell,2023-11-28 16:56:03,TSM,Taiwan Semiconductor Manufacturing,0.589043,97.92,USD,1.46,45.32,
Market sell,2023-11-28 16:56:03,MU,Micron Technology,0.880663,75.4,USD,4.32,52.17,
Market sell,2023-11-28 16:56:04,IBM,IBM,0.3862466,155.5,USD,3.34,47.2,
Market sell,2023-11-28 16:56:16,TM,Toyota Motor,0.1336642,187.16,USD,1.51,19.66,
Market sell,2023-11-28 16:56:32,VLVLY,Volvo,1.886962,23.02,USD,2.36,34.13,
Market sell,2023-11-29 08:00:13,BMW,Bayerische Motoren Werke,0.2560137,94.08,EUR,-1.9,20.8,
Market sell,2023-11-29 08:00:15,MBG,Mercedes-Benz,0.301795,58.0,EUR,-3.04,15.12,
Market sell,2023-11-29 08:00:32,VUKE,Vanguard FTSE 100 (Dist),1.339622,32.45,GBP,-0.53,43.47,
Market sell,2023-11-29 08:00:33,RBOD,iShares Automation & Robotics (Dist),7.17061,7.93,USD,0.86,44.72,
Market sell,2023-11-29 08:00:36,VUSA,Vanguard S&P 500 (Dist),0.655126,68.16,GBP,0.66,44.66,
Market sell,2023-11-29 08:00:38,VEUR,Vanguard FTSE Developed Europe (Dist),1.438375,30.57,GBP,-0.03,43.97,
Market sell,2023-11-29 08:00:43,VAPX,Vanguard FTSE Developed Asia Pacific ex Japan (Dist),2.430067,19.06,GBP,-1.7,46.3,
Market sell,2023-11-29 08:00:44,IUIT,iShares S&P 500 Information Technology Sector (Acc),2.526581,23.76,USD,3.32,47.18,
Market sell,2023-11-29 08:00:51,SMSN,Samsung Electronics,0.02632129,1402.0,USD,2.09,29.01,
Market sell,2023-11-29 08:02:37,VOW,Volkswagen,0.2272767,117.05,EUR,-4.27,22.97,
Market sell,2023-11-29 08:04:23,VWRL,Vanguard FTSE All-World (Dist),0.4933052,103.52,EUR,0.23,44.09,
Market sell,2023-11-29 08:05:03,HYUD,Hyundai Motor,0.430915,40.5,USD,0.1,13.71,
Market sell,2023-11-29 13:33:41,QDVE,iShares S&P 500 Information Technology Sector (Acc),8.0,21.76,EUR,9.94,150.38,
Market sell,2023-11-29 14:30:02,MSFT,Microsoft,0.2,383.54,USD,8.67,60.34,
